id,name,normalized_name,entity_type,language,country,confidence,source_count,metadata_json,created_at,updated_at
23852,Pflegefachkraft,pflegefachkraft,profession,de,DE,0.6,1,"{'null': ""['pflege', 'de', 'DE', '']"", 'domain': 'gesundheit', 'priority': 96, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23851,Pflegefachfrau,pflegefachfrau,profession,de,DE,0.65,2,"{'domain': 'pflege', 'priority': 96, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23853,Pflegefachmann,pflegefachmann,profession,de,DE,0.65,2,"{'domain': 'pflege', 'priority': 96, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23854,Angehörige,angehoerige,audience,de,DE,0.6,1,"{'domain': 'pflege', 'priority': 96, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23857,Krankenpfleger,krankenpfleger,profession,de,DE,0.65,2,"{'domain': 'pflege', 'priority': 95, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23860,Hund,hund,object,de,DE,0.6,1,"{'priority': 95, 'entity_type_hint': 'object'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23861,KI,ki,skill,de,DE,0.6,1,"{'priority': 95, 'entity_type_hint': 'skill'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23862,erste Wohnung,erste wohnung,life_event,de,DE,0.6,1,"{'priority': 95, 'entity_type_hint': 'life_event'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23856,IHK-Prüfung,ihkpruefung,exam,de,DE,0.65,2,"{'domain': 'beruf', 'priority': 95, 'entity_type_hint': 'exam'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23858,Krankenschwester,krankenschwester,profession,de,DE,0.65,2,"{'domain': 'pflege', 'priority': 95, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23863,Pflegende Angehörige,pflegende angehoerige,audience,de,DE,0.6,1,"{'domain': 'pflege', 'priority': 95, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23864,IHK Abschlussprüfung,ihk abschlusspruefung,exam,de,DE,0.65,2,"{'domain': 'beruf', 'priority': 94, 'entity_type_hint': 'exam'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23865,Altenpfleger,altenpfleger,profession,de,DE,0.65,2,"{'domain': 'pflege', 'priority': 94, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23866,Blutdrucktagebuch,blutdrucktagebuch,topic,de,DE,0.6,1,"{'domain': 'gesundheit', 'priority': 93, 'risk_level': 'high', 'entity_type_hint': 'topic'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23867,Hundeerziehung,hundeerziehung,hobby,de,DE,0.6,1,"{'priority': 92, 'entity_type_hint': 'hobby'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23870,Eltern,eltern,audience,de,DE,0.6,1,"{'domain': 'familie', 'priority': 92, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23871,pflegegrad antrag checkliste für angehörige,pflegegrad antrag checkliste fuer angehoerige,topic,de,DE,0.6,1,"{'domain': 'pflege', 'source': 'micro_domain_catalog_2k_de_v2', 'priority': 92, 'subdomain': 'pflege_sub_1', 'risk_level': 'high', 'format_hint': 'checkliste', 'macro_domain': 'pflege', 'micro_domain': 'pflegegrad antrag checkliste für angehörige', 'problem_hint': 'antrag richtig stellen', 'audience_hint': 'pflegende_angehoerige', 'entity_type_hint': 'topic'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23869,Einbürgerungstest,einbuergerungstest,exam,de,DE,0.65,2,"{'domain': 'sprache', 'priority': 92, 'entity_type_hint': 'exam'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23872,Eltern,eltern,topic,de,DE,0.6,1,"{'priority': 92, 'entity_type_hint': 'topic'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23873,Erwachsene mit ADHS,erwachsene mit adhs,audience,de,DE,0.6,1,"{'domain': 'gesundheit', 'priority': 92, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23868,Fachinformatiker,fachinformatiker,profession,de,DE,0.65,2,"{'domain': 'it', 'priority': 92, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23875,Praxisratgeber,praxisratgeber,book_format,de,DE,0.6,1,"{'domain': 'format', 'priority': 92, 'entity_type_hint': 'book_format'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23876,ChatGPT,chatgpt,skill,de,DE,0.6,1,"{'priority': 92, 'entity_type_hint': 'skill'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23878,Pflegefall in der Familie,pflegefall in der familie,life_event,de,DE,0.6,1,"{'priority': 92, 'entity_type_hint': 'life_event'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23879,Hundetraining,hundetraining,hobby,de,DE,0.6,1,"{'priority': 92, 'entity_type_hint': 'hobby'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23880,Pflege,pflege,audience,de,DE,0.6,1,"{'priority': 92, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23881,fehlende Struktur,fehlende struktur,problem,de,DE,0.6,1,"{'domain': 'organisation', 'priority': 91, 'entity_type_hint': 'problem'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23884,Menschen mit Demenz,menschen mit demenz,audience,de,DE,0.6,1,"{'domain': 'pflege', 'priority': 90, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23887,Pflegekräfte,pflegekraefte,audience,de,DE,0.6,1,"{'domain': 'pflege', 'priority': 90, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23888,Pflegebedürftigkeit,pflegebeduerftigkeit,topic,de,DE,0.6,1,"{'priority': 90, 'entity_type_hint': 'topic'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23889,Pflegegrad beantragen,pflegegrad beantragen,life_event,de,DE,0.6,1,"{'priority': 90, 'entity_type_hint': 'life_event'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23886,Arzt,arzt,profession,de,DE,0.65,2,"{'domain': 'medizin', 'priority': 90, 'entity_type_hint': 'profession'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
23885,Rentner,rentner,audience,de,DE,0.65,2,"{'domain': 'senioren', 'priority': 90, 'entity_type_hint': 'audience'}",2026-07-16 03:47:19.134671+00:00,2026-07-16 03:47:19.134671+00:00
