id,discovery_source_id,raw_text,raw_url,language,country,metadata_json,confidence,status,collected_at,processed_at,created_at,updated_at
51525,14,Pflegefachfrau,,de,DE,"{'priority': 96, 'entity_type_hint': 'profession'}",96,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51526,14,Pflegefachmann,,de,DE,"{'priority': 96, 'entity_type_hint': 'profession'}",96,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51527,14,Krankenpfleger,,de,DE,"{'priority': 95, 'entity_type_hint': 'profession'}",95,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51528,14,Krankenschwester,,de,DE,"{'priority': 95, 'entity_type_hint': 'profession'}",95,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51529,14,Altenpfleger,,de,DE,"{'priority': 94, 'entity_type_hint': 'profession'}",94,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51530,14,Arzt,,de,DE,"{'priority': 90, 'entity_type_hint': 'profession'}",90,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51531,14,Zahnarzt,,de,DE,"{'priority': 85, 'entity_type_hint': 'profession'}",85,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51532,14,Apotheker,,de,DE,"{'priority': 82, 'entity_type_hint': 'profession'}",82,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51533,14,Physiotherapeut,,de,DE,"{'priority': 84, 'entity_type_hint': 'profession'}",84,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51534,14,Ergotherapeut,,de,DE,"{'priority': 80, 'entity_type_hint': 'profession'}",80,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51535,14,Logopäde,,de,DE,"{'priority': 78, 'entity_type_hint': 'profession'}",78,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51536,14,Hebamme,,de,DE,"{'priority': 88, 'entity_type_hint': 'profession'}",88,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
51537,14,Notfallsanitäter,,de,DE,"{'priority': 86, 'entity_type_hint': 'profession'}",86,new,2026-07-16 04:16:41.398507+00:00,,2026-07-16 04:16:41.351768+00:00,2026-07-16 04:16:41.351768+00:00
